,pref,pop_dens,pref_no
21470,Kumamoto,625 ,43
21471,Oita,631 ,44
21472,Miyazaki,580 ,45
21473,Kagoshima,484 ,46
21474,Okinawa,1243 ,47
21475,Akita,302 ,5
21476,Yamagata,374 ,6
21477,Fukushima,438 ,7
21478,Ibaraki,719 ,8
21479,Tochigi,648 ,9
21480,Hokkaido,235 ,1
21481,Gunma,852 ,10
21482,Saitama,2844 ,11
21483,Chiba,1761 ,12
21484,Tokyo,9793 ,13
21485,Kanagawa,6253 ,14
21486,Niigata,490 ,15
21487,Toyama,567 ,16
21488,Ishikawa,818 ,17
21489,Fukui,713 ,18
21490,Yamanashi,850 ,19
21491,Aomori,386 ,2
21492,Nagano,635 ,20
21493,Gifu,899 ,21
21494,Shizuoka,1325 ,22
21495,Aichi,2527 ,23
21496,Mie,865 ,24
21497,Shiga,1082 ,25
21498,Kyoto,2201 ,26
21499,Osaka,6620 ,27
21500,Hyogo,1964 ,28
21501,Nara,1555 ,29
21502,Iwate,330 ,3
21503,Wakayama,830 ,30
21504,Tottori,617 ,31
21505,Shimane,519 ,32
21506,Okayama,852 ,33
21507,Hiroshima,1213 ,34
21508,Yamaguchi,796 ,35
21509,Tokushima,721 ,36
21510,Kagawa,951 ,37
21511,Ehime,800 ,38
21512,Kochi,600 ,39
21513,Miyagi,731 ,4
21514,Fukuoka,1848 ,40
21515,Saga,610 ,41
21516,Nagasaki,792 ,42
21517,Kumamoto,625 ,43
21518,Oita,631 ,44
21519,Miyazaki,580 ,45
21520,Kagoshima,484 ,46
21521,Okinawa,1243 ,47
21522,Akita,302 ,5
21523,Yamagata,374 ,6
21524,Fukushima,438 ,7
21525,Ibaraki,719 ,8
21526,Tochigi,648 ,9
21527,Hokkaido,235 ,1
21528,Gunma,852 ,10
21529,Saitama,2844 ,11
21530,Chiba,1761 ,12
21531,Tokyo,9793 ,13
21532,Kanagawa,6253 ,14
21533,Niigata,490 ,15
21534,Toyama,567 ,16
21535,Ishikawa,818 ,17
21536,Fukui,713 ,18
21537,Yamanashi,850 ,19
21538,Aomori,386 ,2
21539,Nagano,635 ,20
21540,Gifu,899 ,21
21541,Shizuoka,1325 ,22
21542,Aichi,2527 ,23
21543,Mie,865 ,24
21544,Shiga,1082 ,25
21545,Kyoto,2201 ,26
21546,Osaka,6620 ,27
21547,Hyogo,1964 ,28
21548,Nara,1555 ,29
21549,Iwate,330 ,3
21550,Wakayama,830 ,30
21551,Tottori,617 ,31
21552,Shimane,519 ,32
21553,Okayama,852 ,33
21554,Hiroshima,1213 ,34
21555,Yamaguchi,796 ,35
21556,Tokushima,721 ,36
21557,Kagawa,951 ,37
21558,Ehime,800 ,38
21559,Kochi,600 ,39
21560,Miyagi,731 ,4
21561,Fukuoka,1848 ,40
21562,Saga,610 ,41
21563,Nagasaki,792 ,42
21564,Kumamoto,625 ,43
21565,Oita,631 ,44
21566,Miyazaki,580 ,45
21567,Kagoshima,484 ,46
21568,Okinawa,1243 ,47
21569,Akita,302 ,5
21570,Yamagata,374 ,6
21571,Fukushima,438 ,7
21572,Ibaraki,719 ,8
21573,Tochigi,648 ,9
21574,Hokkaido,235 ,1
21575,Gunma,852 ,10
21576,Saitama,2844 ,11
21577,Chiba,1761 ,12
21578,Tokyo,9793 ,13
21579,Kanagawa,6253 ,14
21580,Niigata,490 ,15
21581,Toyama,567 ,16
21582,Ishikawa,818 ,17
21583,Fukui,713 ,18
21584,Yamanashi,850 ,19
21585,Aomori,386 ,2
21586,Nagano,635 ,20
21587,Gifu,899 ,21
21588,Shizuoka,1325 ,22
21589,Aichi,2527 ,23
21590,Mie,865 ,24
21591,Shiga,1082 ,25
21592,Kyoto,2201 ,26
21593,Osaka,6620 ,27
21594,Hyogo,1964 ,28
21595,Nara,1555 ,29
21596,Iwate,330 ,3
21597,Wakayama,830 ,30
21598,Tottori,617 ,31
21599,Shimane,519 ,32
21600,Okayama,852 ,33
21601,Hiroshima,1213 ,34
21602,Yamaguchi,796 ,35
21603,Tokushima,721 ,36
21604,Kagawa,951 ,37
21605,Ehime,800 ,38
21606,Kochi,600 ,39
21607,Miyagi,731 ,4
21608,Fukuoka,1848 ,40
21609,Saga,610 ,41
21610,Nagasaki,792 ,42
21611,Kumamoto,625 ,43
21612,Oita,631 ,44
21613,Miyazaki,580 ,45
21614,Kagoshima,484 ,46
21615,Okinawa,1243 ,47
21616,Akita,302 ,5
21617,Yamagata,374 ,6
21618,Fukushima,438 ,7
21619,Ibaraki,719 ,8
21620,Tochigi,648 ,9
21621,Hokkaido,235 ,1
21622,Gunma,852 ,10
21623,Saitama,2844 ,11
21624,Chiba,1761 ,12
21625,Tokyo,9793 ,13
21626,Kanagawa,6253 ,14
21627,Niigata,490 ,15
21628,Toyama,567 ,16
21629,Ishikawa,818 ,17
21630,Fukui,713 ,18
21631,Yamanashi,850 ,19
21632,Aomori,386 ,2
21633,Nagano,635 ,20
21634,Gifu,899 ,21
21635,Shizuoka,1325 ,22
21636,Aichi,2527 ,23
21637,Mie,865 ,24
21638,Shiga,1082 ,25
21639,Kyoto,2201 ,26
21640,Osaka,6620 ,27
21641,Hyogo,1964 ,28
21642,Nara,1555 ,29
21643,Iwate,330 ,3
21644,Wakayama,830 ,30
21645,Tottori,617 ,31
21646,Shimane,519 ,32
21647,Okayama,852 ,33
21648,Hiroshima,1213 ,34
21649,Yamaguchi,796 ,35
21650,Tokushima,721 ,36
21651,Kagawa,951 ,37
21652,Ehime,800 ,38
21653,Kochi,600 ,39
21654,Miyagi,731 ,4
21655,Fukuoka,1848 ,40
21656,Saga,610 ,41
21657,Nagasaki,792 ,42
21658,Kumamoto,625 ,43
21659,Oita,631 ,44
21660,Miyazaki,580 ,45
21661,Kagoshima,484 ,46
21662,Okinawa,1243 ,47
21663,Akita,302 ,5
21664,Yamagata,374 ,6
21665,Fukushima,438 ,7
21666,Ibaraki,719 ,8
21667,Tochigi,648 ,9
21668,Hokkaido,235 ,1
21669,Gunma,852 ,10
21670,Saitama,2844 ,11
21671,Chiba,1761 ,12
21672,Tokyo,9793 ,13
21673,Kanagawa,6253 ,14
21674,Niigata,490 ,15
21675,Toyama,567 ,16
21676,Ishikawa,818 ,17
21677,Fukui,713 ,18
21678,Yamanashi,850 ,19
21679,Aomori,386 ,2
21680,Nagano,635 ,20
21681,Gifu,899 ,21
21682,Shizuoka,1325 ,22
21683,Aichi,2527 ,23
21684,Mie,865 ,24
21685,Shiga,1082 ,25
21686,Kyoto,2201 ,26
21687,Osaka,6620 ,27
21688,Hyogo,1964 ,28
21689,Nara,1555 ,29
21690,Iwate,330 ,3
21691,Wakayama,830 ,30
21692,Tottori,617 ,31
21693,Shimane,519 ,32
21694,Okayama,852 ,33
21695,Hiroshima,1213 ,34
21696,Yamaguchi,796 ,35
21697,Tokushima,721 ,36
21698,Kagawa,951 ,37
21699,Ehime,800 ,38
21700,Kochi,600 ,39
21701,Miyagi,731 ,4
21702,Fukuoka,1848 ,40
21703,Saga,610 ,41
21704,Nagasaki,792 ,42
21705,Kumamoto,625 ,43
21706,Oita,631 ,44
21707,Miyazaki,580 ,45
21708,Kagoshima,484 ,46
21709,Okinawa,1243 ,47
21710,Akita,302 ,5
21711,Yamagata,374 ,6
21712,Fukushima,438 ,7
21713,Ibaraki,719 ,8
21714,Tochigi,648 ,9
21715,Hokkaido,235 ,1
21716,Gunma,852 ,10
21717,Saitama,2844 ,11
21718,Chiba,1761 ,12
21719,Tokyo,9793 ,13
21720,Kanagawa,6253 ,14
21721,Niigata,490 ,15
21722,Toyama,567 ,16
21723,Ishikawa,818 ,17
21724,Fukui,713 ,18
21725,Yamanashi,850 ,19
21726,Aomori,386 ,2
21727,Nagano,635 ,20
21728,Gifu,899 ,21
21729,Shizuoka,1325 ,22
21730,Aichi,2527 ,23
21731,Mie,865 ,24
21732,Shiga,1082 ,25
21733,Kyoto,2201 ,26
21734,Osaka,6620 ,27
21735,Hyogo,1964 ,28
21736,Nara,1555 ,29
21737,Iwate,330 ,3
21738,Wakayama,830 ,30
21739,Tottori,617 ,31
21740,Shimane,519 ,32
21741,Okayama,852 ,33
21742,Hiroshima,1213 ,34
21743,Yamaguchi,796 ,35
21744,Tokushima,721 ,36
21745,Kagawa,951 ,37
21746,Ehime,800 ,38
21747,Kochi,600 ,39
21748,Miyagi,731 ,4
21749,Fukuoka,1848 ,40
21750,Saga,610 ,41
21751,Nagasaki,792 ,42
21752,Kumamoto,625 ,43
21753,Oita,631 ,44
21754,Miyazaki,580 ,45
21755,Kagoshima,484 ,46
21756,Okinawa,1243 ,47
21757,Akita,302 ,5
21758,Yamagata,374 ,6
21759,Fukushima,438 ,7
21760,Ibaraki,719 ,8
21761,Tochigi,648 ,9
21762,Hokkaido,235 ,1
21763,Gunma,852 ,10
21764,Saitama,2844 ,11
21765,Chiba,1761 ,12
21766,Tokyo,9793 ,13
21767,Kanagawa,6253 ,14
21768,Niigata,490 ,15
21769,Toyama,567 ,16
21770,Ishikawa,818 ,17
21771,Fukui,713 ,18
21772,Yamanashi,850 ,19
21773,Aomori,386 ,2
21774,Nagano,635 ,20
21775,Gifu,899 ,21
21776,Shizuoka,1325 ,22
21777,Aichi,2527 ,23
21778,Mie,865 ,24
21779,Shiga,1082 ,25
21780,Kyoto,2201 ,26
21781,Osaka,6620 ,27
21782,Hyogo,1964 ,28
21783,Nara,1555 ,29
21784,Iwate,330 ,3
21785,Wakayama,830 ,30
21786,Tottori,617 ,31
21787,Shimane,519 ,32
21788,Okayama,852 ,33
21789,Hiroshima,1213 ,34
21790,Yamaguchi,796 ,35
21791,Tokushima,721 ,36
21792,Kagawa,951 ,37
21793,Ehime,800 ,38
21794,Kochi,600 ,39
21795,Miyagi,731 ,4
21796,Fukuoka,1848 ,40
21797,Saga,610 ,41
21798,Nagasaki,792 ,42
21799,Kumamoto,625 ,43
21800,Oita,631 ,44
21801,Miyazaki,580 ,45
21802,Kagoshima,484 ,46
21803,Okinawa,1243 ,47
21804,Akita,302 ,5
21805,Yamagata,374 ,6
21806,Fukushima,438 ,7
21807,Ibaraki,719 ,8
21808,Tochigi,648 ,9
21809,Hokkaido,235 ,1
21810,Gunma,852 ,10
21811,Saitama,2844 ,11
21812,Chiba,1761 ,12
21813,Tokyo,9793 ,13
21814,Kanagawa,6253 ,14
21815,Niigata,490 ,15
21816,Toyama,567 ,16
21817,Ishikawa,818 ,17
21818,Fukui,713 ,18
21819,Yamanashi,850 ,19
21820,Aomori,386 ,2
21821,Nagano,635 ,20
21822,Gifu,899 ,21
21823,Shizuoka,1325 ,22
21824,Aichi,2527 ,23
21825,Mie,865 ,24
21826,Shiga,1082 ,25
21827,Kyoto,2201 ,26
21828,Osaka,6620 ,27
21829,Hyogo,1964 ,28
21830,Nara,1555 ,29
21831,Iwate,330 ,3
21832,Wakayama,830 ,30
21833,Tottori,617 ,31
21834,Shimane,519 ,32
21835,Okayama,852 ,33
21836,Hiroshima,1213 ,34
21837,Yamaguchi,796 ,35
21838,Tokushima,721 ,36
21839,Kagawa,951 ,37
21840,Ehime,800 ,38
21841,Kochi,600 ,39
21842,Miyagi,731 ,4
21843,Fukuoka,1848 ,40
21844,Saga,610 ,41
21845,Nagasaki,792 ,42
21846,Kumamoto,625 ,43
21847,Oita,631 ,44
21848,Miyazaki,580 ,45
21849,Kagoshima,484 ,46
21850,Okinawa,1243 ,47
21851,Akita,302 ,5
21852,Yamagata,374 ,6
21853,Fukushima,438 ,7
21854,Ibaraki,719 ,8
21855,Tochigi,648 ,9
21856,Hokkaido,235 ,1
21857,Gunma,852 ,10
21858,Saitama,2844 ,11
21859,Chiba,1761 ,12
21860,Tokyo,9793 ,13
21861,Kanagawa,6253 ,14
21862,Niigata,490 ,15
21863,Toyama,567 ,16
21864,Ishikawa,818 ,17
21865,Fukui,713 ,18
21866,Yamanashi,850 ,19
21867,Aomori,386 ,2
21868,Nagano,635 ,20
21869,Gifu,899 ,21
21870,Shizuoka,1325 ,22
21871,Aichi,2527 ,23
21872,Mie,865 ,24
21873,Shiga,1082 ,25
21874,Kyoto,2201 ,26
21875,Osaka,6620 ,27
21876,Hyogo,1964 ,28
21877,Nara,1555 ,29
21878,Iwate,330 ,3
21879,Wakayama,830 ,30
21880,Tottori,617 ,31
21881,Shimane,519 ,32
21882,Okayama,852 ,33
21883,Hiroshima,1213 ,34
21884,Yamaguchi,796 ,35
21885,Tokushima,721 ,36
21886,Kagawa,951 ,37
21887,Ehime,800 ,38
21888,Kochi,600 ,39
21889,Miyagi,731 ,4
21890,Fukuoka,1848 ,40
21891,Saga,610 ,41
21892,Nagasaki,792 ,42
21893,Kumamoto,625 ,43
21894,Oita,631 ,44
21895,Miyazaki,580 ,45
21896,Kagoshima,484 ,46
21897,Okinawa,1243 ,47
21898,Akita,302 ,5
21899,Yamagata,374 ,6
21900,Fukushima,438 ,7
21901,Ibaraki,719 ,8
21902,Tochigi,648 ,9
21903,Hokkaido,235 ,1
21904,Gunma,852 ,10
21905,Saitama,2844 ,11
21906,Chiba,1761 ,12
21907,Tokyo,9793 ,13
21908,Kanagawa,6253 ,14
21909,Niigata,490 ,15
21910,Toyama,567 ,16
21911,Ishikawa,818 ,17
21912,Fukui,713 ,18
21913,Yamanashi,850 ,19
21914,Aomori,386 ,2
21915,Nagano,635 ,20
21916,Gifu,899 ,21
21917,Shizuoka,1325 ,22
21918,Aichi,2527 ,23
21919,Mie,865 ,24
21920,Shiga,1082 ,25
21921,Kyoto,2201 ,26
21922,Osaka,6620 ,27
21923,Hyogo,1964 ,28
21924,Nara,1555 ,29
21925,Iwate,330 ,3
21926,Wakayama,830 ,30
21927,Tottori,617 ,31
21928,Shimane,519 ,32
21929,Okayama,852 ,33
21930,Hiroshima,1213 ,34
21931,Yamaguchi,796 ,35
21932,Tokushima,721 ,36
21933,Kagawa,951 ,37
21934,Ehime,800 ,38
21935,Kochi,600 ,39
21936,Miyagi,731 ,4
21937,Fukuoka,1848 ,40
21938,Saga,610 ,41
21939,Nagasaki,792 ,42
21940,Kumamoto,625 ,43
21941,Oita,631 ,44
21942,Miyazaki,580 ,45
21943,Kagoshima,484 ,46
21944,Okinawa,1243 ,47
21945,Akita,302 ,5
21946,Yamagata,374 ,6
21947,Fukushima,438 ,7
21948,Ibaraki,719 ,8
21949,Tochigi,648 ,9
21950,Hokkaido,235 ,1
21951,Gunma,852 ,10
21952,Saitama,2844 ,11
21953,Chiba,1761 ,12
21954,Tokyo,9793 ,13
21955,Kanagawa,6253 ,14
21956,Niigata,490 ,15
21957,Toyama,567 ,16
21958,Ishikawa,818 ,17
21959,Fukui,713 ,18
21960,Yamanashi,850 ,19
21961,Aomori,386 ,2
21962,Nagano,635 ,20
21963,Gifu,899 ,21
21964,Shizuoka,1325 ,22
21965,Aichi,2527 ,23
21966,Mie,865 ,24
21967,Shiga,1082 ,25
21968,Kyoto,2201 ,26
21969,Osaka,6620 ,27
21970,Hyogo,1964 ,28
21971,Nara,1555 ,29
21972,Iwate,330 ,3
21973,Wakayama,830 ,30
21974,Tottori,617 ,31
21975,Shimane,519 ,32
21976,Okayama,852 ,33
21977,Hiroshima,1213 ,34
21978,Yamaguchi,796 ,35
21979,Tokushima,721 ,36
21980,Kagawa,951 ,37
21981,Ehime,800 ,38
21982,Kochi,600 ,39
21983,Miyagi,731 ,4
21984,Fukuoka,1848 ,40
21985,Saga,610 ,41
21986,Nagasaki,792 ,42
21987,Kumamoto,625 ,43
21988,Oita,631 ,44
21989,Miyazaki,580 ,45
21990,Kagoshima,484 ,46
21991,Okinawa,1243 ,47
21992,Akita,302 ,5
21993,Yamagata,374 ,6
21994,Fukushima,438 ,7
21995,Ibaraki,719 ,8
21996,Tochigi,648 ,9
21997,Hokkaido,235 ,1
21998,Gunma,852 ,10
21999,Saitama,2844 ,11
22000,Chiba,1761 ,12
22001,Tokyo,9793 ,13
22002,Kanagawa,6253 ,14
22003,Niigata,490 ,15
22004,Toyama,567 ,16
22005,Ishikawa,818 ,17
22006,Fukui,713 ,18
22007,Yamanashi,850 ,19
22008,Aomori,386 ,2
22009,Nagano,635 ,20
22010,Gifu,899 ,21
22011,Shizuoka,1325 ,22
22012,Aichi,2527 ,23
22013,Mie,865 ,24
22014,Shiga,1082 ,25
22015,Kyoto,2201 ,26
22016,Osaka,6620 ,27
22017,Hyogo,1964 ,28
22018,Nara,1555 ,29
22019,Iwate,330 ,3
22020,Wakayama,830 ,30
22021,Tottori,617 ,31
22022,Shimane,519 ,32
22023,Okayama,852 ,33
22024,Hiroshima,1213 ,34
22025,Yamaguchi,796 ,35
22026,Tokushima,721 ,36
22027,Kagawa,951 ,37
22028,Ehime,800 ,38
22029,Kochi,600 ,39
22030,Miyagi,731 ,4
22031,Fukuoka,1848 ,40
22032,Saga,610 ,41
22033,Nagasaki,792 ,42
22034,Kumamoto,625 ,43
22035,Oita,631 ,44
22036,Miyazaki,580 ,45
22037,Kagoshima,484 ,46
22038,Okinawa,1243 ,47
22039,Akita,302 ,5
22040,Yamagata,374 ,6
22041,Fukushima,438 ,7
22042,Ibaraki,719 ,8
22043,Tochigi,648 ,9
22044,Hokkaido,235 ,1
22045,Gunma,852 ,10
22046,Saitama,2844 ,11
22047,Chiba,1761 ,12
22048,Tokyo,9793 ,13
22049,Kanagawa,6253 ,14
22050,Niigata,490 ,15
22051,Toyama,567 ,16
22052,Ishikawa,818 ,17
22053,Fukui,713 ,18
22054,Yamanashi,850 ,19
22055,Aomori,386 ,2
22056,Nagano,635 ,20
22057,Gifu,899 ,21
22058,Shizuoka,1325 ,22
22059,Aichi,2527 ,23
22060,Mie,865 ,24
22061,Shiga,1082 ,25
22062,Kyoto,2201 ,26
22063,Osaka,6620 ,27
22064,Hyogo,1964 ,28
22065,Nara,1555 ,29
22066,Iwate,330 ,3
22067,Wakayama,830 ,30
22068,Tottori,617 ,31
22069,Shimane,519 ,32
22070,Okayama,852 ,33
22071,Hiroshima,1213 ,34
22072,Yamaguchi,796 ,35
22073,Tokushima,721 ,36
22074,Kagawa,951 ,37
22075,Ehime,800 ,38
22076,Kochi,600 ,39
22077,Miyagi,731 ,4
22078,Fukuoka,1848 ,40
22079,Saga,610 ,41
22080,Nagasaki,792 ,42
22081,Kumamoto,625 ,43
22082,Oita,631 ,44
22083,Miyazaki,580 ,45
22084,Kagoshima,484 ,46
22085,Okinawa,1243 ,47
22086,Akita,302 ,5
22087,Yamagata,374 ,6
22088,Fukushima,438 ,7
22089,Ibaraki,719 ,8
22090,Tochigi,648 ,9
22091,Hokkaido,235 ,1
22092,Gunma,852 ,10
22093,Saitama,2844 ,11
22094,Chiba,1761 ,12
22095,Tokyo,9793 ,13
22096,Kanagawa,6253 ,14
22097,Niigata,490 ,15
22098,Toyama,567 ,16
22099,Ishikawa,818 ,17
22100,Fukui,713 ,18
22101,Yamanashi,850 ,19
22102,Aomori,386 ,2
22103,Nagano,635 ,20
22104,Gifu,899 ,21
22105,Shizuoka,1325 ,22
22106,Aichi,2527 ,23
22107,Mie,865 ,24
22108,Shiga,1082 ,25
22109,Kyoto,2201 ,26
22110,Osaka,6620 ,27
22111,Hyogo,1964 ,28
22112,Nara,1555 ,29
22113,Iwate,330 ,3
22114,Wakayama,830 ,30
22115,Tottori,617 ,31
22116,Shimane,519 ,32
22117,Okayama,852 ,33
22118,Hiroshima,1213 ,34
22119,Yamaguchi,796 ,35
22120,Tokushima,721 ,36
22121,Kagawa,951 ,37
22122,Ehime,800 ,38
22123,Kochi,600 ,39
22124,Miyagi,731 ,4
22125,Fukuoka,1848 ,40
22126,Saga,610 ,41
22127,Nagasaki,792 ,42
22128,Kumamoto,625 ,43
22129,Oita,631 ,44
22130,Miyazaki,580 ,45
22131,Kagoshima,484 ,46
22132,Okinawa,1243 ,47
22133,Akita,302 ,5
22134,Yamagata,374 ,6
22135,Fukushima,438 ,7
22136,Ibaraki,719 ,8
22137,Tochigi,648 ,9
22138,Hokkaido,235 ,1
22139,Gunma,852 ,10
22140,Saitama,2844 ,11
22141,Chiba,1761 ,12
22142,Tokyo,9793 ,13
22143,Kanagawa,6253 ,14
22144,Niigata,490 ,15
22145,Toyama,567 ,16
22146,Ishikawa,818 ,17
22147,Fukui,713 ,18
22148,Yamanashi,850 ,19
22149,Aomori,386 ,2
22150,Nagano,635 ,20
22151,Gifu,899 ,21
22152,Shizuoka,1325 ,22
22153,Aichi,2527 ,23
22154,Mie,865 ,24
22155,Shiga,1082 ,25
22156,Kyoto,2201 ,26
22157,Osaka,6620 ,27
22158,Hyogo,1964 ,28
22159,Nara,1555 ,29
22160,Iwate,330 ,3
22161,Wakayama,830 ,30
22162,Tottori,617 ,31
22163,Shimane,519 ,32
22164,Okayama,852 ,33
22165,Hiroshima,1213 ,34
22166,Yamaguchi,796 ,35
22167,Tokushima,721 ,36
22168,Kagawa,951 ,37
22169,Ehime,800 ,38
22170,Kochi,600 ,39
22171,Miyagi,731 ,4
22172,Fukuoka,1848 ,40
22173,Saga,610 ,41
22174,Nagasaki,792 ,42
22175,Kumamoto,625 ,43
22176,Oita,631 ,44
22177,Miyazaki,580 ,45
22178,Kagoshima,484 ,46
22179,Okinawa,1243 ,47
22180,Akita,302 ,5
22181,Yamagata,374 ,6
22182,Fukushima,438 ,7
22183,Ibaraki,719 ,8
22184,Tochigi,648 ,9
22185,Hokkaido,235 ,1
22186,Gunma,852 ,10
22187,Saitama,2844 ,11
22188,Chiba,1761 ,12
22189,Tokyo,9793 ,13
22190,Kanagawa,6253 ,14
22191,Niigata,490 ,15
22192,Toyama,567 ,16
22193,Ishikawa,818 ,17
22194,Fukui,713 ,18
22195,Yamanashi,850 ,19
22196,Aomori,386 ,2
22197,Nagano,635 ,20
22198,Gifu,899 ,21
22199,Shizuoka,1325 ,22
22200,Aichi,2527 ,23
22201,Mie,865 ,24
22202,Shiga,1082 ,25
22203,Kyoto,2201 ,26
22204,Osaka,6620 ,27
22205,Hyogo,1964 ,28
22206,Nara,1555 ,29
22207,Iwate,330 ,3
22208,Wakayama,830 ,30
22209,Tottori,617 ,31
22210,Shimane,519 ,32
22211,Okayama,852 ,33
22212,Hiroshima,1213 ,34
22213,Yamaguchi,796 ,35
22214,Tokushima,721 ,36
22215,Kagawa,951 ,37
22216,Ehime,800 ,38
22217,Kochi,600 ,39
22218,Miyagi,731 ,4
22219,Fukuoka,1848 ,40
22220,Saga,610 ,41
22221,Nagasaki,792 ,42
22222,Kumamoto,625 ,43
22223,Oita,631 ,44
22224,Miyazaki,580 ,45
22225,Kagoshima,484 ,46
22226,Okinawa,1243 ,47
22227,Akita,302 ,5
22228,Yamagata,374 ,6
22229,Fukushima,438 ,7
22230,Ibaraki,719 ,8
22231,Tochigi,648 ,9
22232,Hokkaido,235 ,1
22233,Gunma,852 ,10
22234,Saitama,2844 ,11
22235,Chiba,1761 ,12
22236,Tokyo,9793 ,13
22237,Kanagawa,6253 ,14
22238,Niigata,490 ,15
22239,Toyama,567 ,16
22240,Ishikawa,818 ,17
22241,Fukui,713 ,18
22242,Yamanashi,850 ,19
22243,Aomori,386 ,2
22244,Nagano,635 ,20
22245,Gifu,899 ,21
22246,Shizuoka,1325 ,22
22247,Aichi,2527 ,23
22248,Mie,865 ,24
22249,Shiga,1082 ,25
22250,Kyoto,2201 ,26
22251,Osaka,6620 ,27
22252,Hyogo,1964 ,28
22253,Nara,1555 ,29
22254,Iwate,330 ,3
22255,Wakayama,830 ,30
22256,Tottori,617 ,31
22257,Shimane,519 ,32
22258,Okayama,852 ,33
22259,Hiroshima,1213 ,34
22260,Yamaguchi,796 ,35
22261,Tokushima,721 ,36
22262,Kagawa,951 ,37
22263,Ehime,800 ,38
22264,Kochi,600 ,39
22265,Miyagi,731 ,4
22266,Fukuoka,1848 ,40
22267,Saga,610 ,41
22268,Nagasaki,792 ,42
22269,Kumamoto,625 ,43
22270,Oita,631 ,44
22271,Miyazaki,580 ,45
22272,Kagoshima,484 ,46
22273,Okinawa,1243 ,47
22274,Akita,302 ,5
22275,Yamagata,374 ,6
22276,Fukushima,438 ,7
22277,Ibaraki,719 ,8
22278,Tochigi,648 ,9
22279,Hokkaido,235 ,1
22280,Gunma,852 ,10
22281,Saitama,2844 ,11
22282,Chiba,1761 ,12
22283,Tokyo,9793 ,13
22284,Kanagawa,6253 ,14
22285,Niigata,490 ,15
22286,Toyama,567 ,16
22287,Ishikawa,818 ,17
22288,Fukui,713 ,18
22289,Yamanashi,850 ,19
22290,Aomori,386 ,2
22291,Nagano,635 ,20
22292,Gifu,899 ,21
22293,Shizuoka,1325 ,22
22294,Aichi,2527 ,23
22295,Mie,865 ,24
22296,Shiga,1082 ,25
22297,Kyoto,2201 ,26
22298,Osaka,6620 ,27
22299,Hyogo,1964 ,28
22300,Nara,1555 ,29
22301,Iwate,330 ,3
22302,Wakayama,830 ,30
22303,Tottori,617 ,31
22304,Shimane,519 ,32
22305,Okayama,852 ,33
22306,Hiroshima,1213 ,34
22307,Yamaguchi,796 ,35
22308,Tokushima,721 ,36
22309,Kagawa,951 ,37
22310,Ehime,800 ,38
22311,Kochi,600 ,39
22312,Miyagi,731 ,4
22313,Fukuoka,1848 ,40
22314,Saga,610 ,41
22315,Nagasaki,792 ,42
22316,Kumamoto,625 ,43
22317,Oita,631 ,44
22318,Miyazaki,580 ,45
22319,Kagoshima,484 ,46
22320,Okinawa,1243 ,47
22321,Akita,302 ,5
22322,Yamagata,374 ,6
22323,Fukushima,438 ,7
22324,Ibaraki,719 ,8
22325,Tochigi,648 ,9
22326,Hokkaido,235 ,1
22327,Gunma,852 ,10
22328,Saitama,2844 ,11
22329,Chiba,1761 ,12
22330,Tokyo,9793 ,13
22331,Kanagawa,6253 ,14
22332,Niigata,490 ,15
22333,Toyama,567 ,16
22334,Ishikawa,818 ,17
22335,Fukui,713 ,18
22336,Yamanashi,850 ,19
22337,Aomori,386 ,2
22338,Nagano,635 ,20
22339,Gifu,899 ,21
22340,Shizuoka,1325 ,22
22341,Aichi,2527 ,23
22342,Mie,865 ,24
22343,Shiga,1082 ,25
22344,Kyoto,2201 ,26
22345,Osaka,6620 ,27
22346,Hyogo,1964 ,28
22347,Nara,1555 ,29
22348,Iwate,330 ,3
22349,Wakayama,830 ,30
22350,Tottori,617 ,31
22351,Shimane,519 ,32
22352,Okayama,852 ,33
22353,Hiroshima,1213 ,34
22354,Yamaguchi,796 ,35
22355,Tokushima,721 ,36
22356,Kagawa,951 ,37
22357,Ehime,800 ,38
22358,Kochi,600 ,39
22359,Miyagi,731 ,4
22360,Fukuoka,1848 ,40
22361,Saga,610 ,41
22362,Nagasaki,792 ,42
22363,Kumamoto,625 ,43
22364,Oita,631 ,44
22365,Miyazaki,580 ,45
22366,Kagoshima,484 ,46
22367,Okinawa,1243 ,47
22368,Akita,302 ,5
22369,Yamagata,374 ,6
22370,Fukushima,438 ,7
22371,Ibaraki,719 ,8
22372,Tochigi,648 ,9
22373,Hokkaido,235 ,1
22374,Gunma,852 ,10
22375,Saitama,2844 ,11
22376,Chiba,1761 ,12
22377,Tokyo,9793 ,13
22378,Kanagawa,6253 ,14
22379,Niigata,490 ,15
22380,Toyama,567 ,16
22381,Ishikawa,818 ,17
22382,Fukui,713 ,18
22383,Yamanashi,850 ,19
22384,Aomori,386 ,2
22385,Nagano,635 ,20
22386,Gifu,899 ,21
22387,Shizuoka,1325 ,22
22388,Aichi,2527 ,23
22389,Mie,865 ,24
22390,Shiga,1082 ,25
22391,Kyoto,2201 ,26
22392,Osaka,6620 ,27
22393,Hyogo,1964 ,28
22394,Nara,1555 ,29
22395,Iwate,330 ,3
22396,Wakayama,830 ,30
22397,Tottori,617 ,31
22398,Shimane,519 ,32
22399,Okayama,852 ,33
22400,Hiroshima,1213 ,34
22401,Yamaguchi,796 ,35
