,pref,pop_dens,pref_no
8700,Tokyo,9793 ,13
8701,Kanagawa,6253 ,14
8702,Niigata,490 ,15
8703,Toyama,567 ,16
8704,Ishikawa,818 ,17
8705,Fukui,713 ,18
8706,Yamanashi,850 ,19
8707,Aomori,386 ,2
8708,Nagano,635 ,20
8709,Gifu,899 ,21
8710,Shizuoka,1325 ,22
8711,Aichi,2527 ,23
8712,Mie,865 ,24
8713,Shiga,1082 ,25
8714,Kyoto,2201 ,26
8715,Osaka,6620 ,27
8716,Hyogo,1964 ,28
8717,Nara,1555 ,29
8718,Iwate,330 ,3
8719,Wakayama,830 ,30
8720,Tottori,617 ,31
8721,Shimane,519 ,32
8722,Okayama,852 ,33
8723,Hiroshima,1213 ,34
8724,Yamaguchi,796 ,35
8725,Tokushima,721 ,36
8726,Kagawa,951 ,37
8727,Ehime,800 ,38
8728,Kochi,600 ,39
8729,Miyagi,731 ,4
8730,Fukuoka,1848 ,40
8731,Saga,610 ,41
8732,Nagasaki,792 ,42
8733,Kumamoto,625 ,43
8734,Oita,631 ,44
8735,Miyazaki,580 ,45
8736,Kagoshima,484 ,46
8737,Okinawa,1243 ,47
8738,Akita,302 ,5
8739,Yamagata,374 ,6
8740,Fukushima,438 ,7
8741,Ibaraki,719 ,8
8742,Tochigi,648 ,9
8743,Hokkaido,235 ,1
8744,Gunma,852 ,10
8745,Saitama,2844 ,11
8746,Chiba,1761 ,12
8747,Tokyo,9793 ,13
8748,Kanagawa,6253 ,14
8749,Niigata,490 ,15
8750,Toyama,567 ,16
8751,Ishikawa,818 ,17
8752,Fukui,713 ,18
8753,Yamanashi,850 ,19
8754,Aomori,386 ,2
8755,Nagano,635 ,20
8756,Gifu,899 ,21
8757,Shizuoka,1325 ,22
8758,Aichi,2527 ,23
8759,Mie,865 ,24
8760,Shiga,1082 ,25
8761,Kyoto,2201 ,26
8762,Osaka,6620 ,27
8763,Hyogo,1964 ,28
8764,Nara,1555 ,29
8765,Iwate,330 ,3
8766,Wakayama,830 ,30
8767,Tottori,617 ,31
8768,Shimane,519 ,32
8769,Okayama,852 ,33
8770,Hiroshima,1213 ,34
8771,Yamaguchi,796 ,35
8772,Tokushima,721 ,36
8773,Kagawa,951 ,37
8774,Ehime,800 ,38
8775,Kochi,600 ,39
8776,Miyagi,731 ,4
8777,Fukuoka,1848 ,40
8778,Saga,610 ,41
8779,Nagasaki,792 ,42
8780,Kumamoto,625 ,43
8781,Oita,631 ,44
8782,Miyazaki,580 ,45
8783,Kagoshima,484 ,46
8784,Okinawa,1243 ,47
8785,Akita,302 ,5
8786,Yamagata,374 ,6
8787,Fukushima,438 ,7
8788,Ibaraki,719 ,8
8789,Tochigi,648 ,9
8790,Hokkaido,235 ,1
8791,Gunma,852 ,10
8792,Saitama,2844 ,11
8793,Chiba,1761 ,12
8794,Tokyo,9793 ,13
8795,Kanagawa,6253 ,14
8796,Niigata,490 ,15
8797,Toyama,567 ,16
8798,Ishikawa,818 ,17
8799,Fukui,713 ,18
8800,Yamanashi,850 ,19
8801,Aomori,386 ,2
