pref,pref_no,peak_1,end_1,start_2,peak_2,end_2,start_3,peak_3,end_3,start_4,peak_4,end_4,start_5,peak_5,end_5,start_6,peak_6,
Tokyo,13,2020/4/14,2020/5/25,2020/5/26,2020/8/5,2020/9/25,2020/9/26,2021/1/11,2021/3/21,2021/3/22,2021/5/13,2021/6/20,2021/6/21,2021/8/19,2021/11/28,2021/11/29,2022/2/8,
Kanagawa,14,2020/4/16,2020/6/14,2020/6/15,2020/8/19,2020/9/24,2020/9/25,2021/1/18,2021/3/28,2021/3/29,2021/5/15,2021/6/25,2021/6/26,2021/8/26,2021/11/3,2021/11/4,2022/2/10,
Niigata,15,2020/4/28,2020/5/22,2020/5/23,2020/8/3,2020/10/3,2020/10/4,2021/1/14,2021/2/22,2021/2/23,2021/5/14,2021/6/24,2021/6/25,2021/8/27,2021/11/5,2021/11/6,2022/1/30,
Toyama,16,2020/4/24,2020/5/25,2020/5/26,2020/8/31,2020/10/9,2020/10/10,2021/1/11,2021/3/2,2021/3/3,2021/5/24,2021/7/4,2021/7/5,2021/8/22,2021/11/8,2021/11/9,2022/3/4,
Ishikawa,17,2020/4/13,2020/6/12,2020/6/13,2020/8/20,2020/10/4,2020/10/5,2021/2/16,2021/3/12,2021/3/13,2021/5/13,2021/6/30,2021/7/1,2021/8/1,2021/11/5,2021/11/6,2022/2/6,
Fukui,18,2020/4/8,2020/5/14,2020/5/15,2020/8/31,2020/9/15,2020/9/16,2021/1/19,2021/3/6,2021/3/7,2021/4/24,2021/6/10,2021/6/11,2021/8/30,2021/11/16,2021/11/17,2022/3/13,
Yamanashi,19,2020/4/11,2020/5/26,2020/5/27,2020/8/6,2020/9/23,2020/9/24,2021/1/10,2021/3/10,2021/3/11,2021/6/11,2021/7/19,2021/7/20,2021/8/23,2021/11/3,2021/11/4,2022/1/31,
Nagano,20,2020/4/16,2020/5/20,2020/5/21,2020/8/30,2020/9/26,2020/9/27,2021/1/12,2021/2/17,2021/2/18,2021/4/17,2021/7/4,2021/7/5,2021/8/24,2021/11/18,2021/11/19,2022/2/6,
Gifu,21,2020/4/13,2020/5/14,2020/5/15,2020/8/1,2020/9/22,2020/9/23,2021/1/10,2021/3/16,2021/3/17,2021/5/16,2021/7/11,2021/7/12,2021/8/30,2021/12/25,2021/12/26,2022/2/19,
Shizuoka,22,2020/4/13,2020/5/14,2020/5/15,2020/7/31,2020/10/14,2020/10/15,2021/1/14,2021/2/13,2021/2/14,2021/5/16,2021/7/4,2021/7/5,2021/8/25,2021/11/20,2021/11/21,2022/2/10,
Aichi,23,2020/4/10,2020/6/27,2020/6/28,2020/8/4,2020/10/9,2020/10/10,2021/1/11,2021/3/19,2021/3/20,2021/5/16,2021/7/3,2021/7/4,2021/9/1,2021/12/22,2021/12/23,2022/2/19,
Mie,24,2020/4/22,2020/5/14,2020/5/15,2020/8/8,2020/10/29,2020/10/30,2021/1/27,2021/3/9,2021/3/10,2021/4/28,2021/7/2,2021/7/3,2021/8/27,2021/12/12,2021/12/13,2022/2/9,
Shiga,25,2020/4/22,2020/5/30,2020/5/31,2020/8/9,2020/9/19,2020/9/20,2021/1/9,2021/3/28,2021/3/29,2021/5/13,2021/7/2,2021/7/3,2021/8/25,2021/11/27,2021/11/28,2022/2/10,
Kyoto,26,2020/4/8,2020/5/21,2020/5/22,2020/8/23,2020/10/7,2020/10/8,2021/1/13,2021/3/5,2021/3/6,2021/5/15,2021/6/25,2021/6/26,2021/8/26,2021/12/1,2021/12/2,2022/2/10,
Osaka,27,2020/4/20,2020/5/29,2020/5/30,2020/8/10,2020/10/8,2020/10/9,2021/1/11,2021/3/2,2021/3/3,2021/5/2,2021/6/22,2021/6/23,2021/9/1,2021/12/14,2021/12/15,2022/2/11,
