date_case,pref_no,pref,newcases,cumcases,death,cumdeath
2022/4/4,19,ŽR—œŒ§,143,24262,0,64
2022/4/5,19,ŽR—œŒ§,212,24474,0,64
2022/4/6,19,ŽR—œŒ§,250,24724,0,64
2022/4/7,19,ŽR—œŒ§,254,24978,0,64
2022/4/8,19,ŽR—œŒ§,222,25200,0,64
2022/4/9,19,ŽR—œŒ§,263,25463,0,64
2022/4/10,19,ŽR—œŒ§,196,25659,0,64
2022/4/11,19,ŽR—œŒ§,140,25799,0,64
2022/4/12,19,ŽR—œŒ§,286,26085,0,64
2022/4/13,19,ŽR—œŒ§,232,26317,0,64
2022/4/14,19,ŽR—œŒ§,203,26520,0,64
2022/4/15,19,ŽR—œŒ§,163,26683,0,64
2022/4/16,19,ŽR—œŒ§,156,26839,1,65
2022/4/17,19,ŽR—œŒ§,134,26973,0,65
2022/4/18,19,ŽR—œŒ§,70,27043,1,66
2022/4/19,19,ŽR—œŒ§,164,27207,0,66
2022/4/20,19,ŽR—œŒ§,174,27381,0,66
2022/4/21,19,ŽR—œŒ§,142,27523,0,66
2022/4/22,19,ŽR—œŒ§,144,27667,0,66
2022/4/23,19,ŽR—œŒ§,171,27838,1,67
2022/4/24,19,ŽR—œŒ§,138,27976,0,67
2022/4/25,19,ŽR—œŒ§,98,28074,0,67
2022/4/26,19,ŽR—œŒ§,185,28259,0,67
2022/4/27,19,ŽR—œŒ§,160,28419,0,67
2022/4/28,19,ŽR—œŒ§,139,28558,0,67
2022/4/29,19,ŽR—œŒ§,114,28672,0,67
2022/4/30,19,ŽR—œŒ§,59,28731,0,67
2022/5/1,19,ŽR—œŒ§,123,28854,0,67
2022/5/2,19,ŽR—œŒ§,72,28926,0,67
2022/5/3,19,ŽR—œŒ§,167,29093,0,67
2022/5/4,19,ŽR—œŒ§,105,29198,0,67
2022/5/5,19,ŽR—œŒ§,99,29297,0,67
2022/5/6,19,ŽR—œŒ§,96,29393,1,68
2022/5/7,19,ŽR—œŒ§,167,29560,0,68
2022/5/8,19,ŽR—œŒ§,151,29711,0,68
2022/5/9,19,ŽR—œŒ§,112,29823,0,68
2022/5/10,19,ŽR—œŒ§,152,29975,0,68
2022/5/11,19,ŽR—œŒ§,158,30133,0,68
2022/5/12,19,ŽR—œŒ§,133,30266,0,68
2022/5/13,19,ŽR—œŒ§,146,30412,0,68
2022/5/14,19,ŽR—œŒ§,132,30544,0,68
2022/5/15,19,ŽR—œŒ§,108,30652,0,68
2022/5/16,19,ŽR—œŒ§,76,30728,0,68
2022/5/17,19,ŽR—œŒ§,154,30882,0,68
2022/5/18,19,ŽR—œŒ§,135,31017,0,68
2022/5/19,19,ŽR—œŒ§,110,31127,0,68
2022/5/20,19,ŽR—œŒ§,101,31228,0,68
2022/5/21,19,ŽR—œŒ§,112,31340,0,68
2022/5/22,19,ŽR—œŒ§,107,31447,0,68
2022/5/23,19,ŽR—œŒ§,81,31528,0,68
2022/5/24,19,ŽR—œŒ§,172,31700,0,68
2022/5/25,19,ŽR—œŒ§,172,31872,0,68
2022/5/26,19,ŽR—œŒ§,150,32022,0,68
2022/5/27,19,ŽR—œŒ§,129,32151,0,68
2022/5/28,19,ŽR—œŒ§,153,32304,0,68
2022/5/29,19,ŽR—œŒ§,111,32415,0,68
2022/5/30,19,ŽR—œŒ§,65,32480,0,68
2022/5/31,19,ŽR—œŒ§,147,32627,0,68
2022/6/1,19,ŽR—œŒ§,137,32764,0,68
2022/6/2,19,ŽR—œŒ§,118,32882,0,68
2022/6/3,19,ŽR—œŒ§,81,32963,0,68
2022/6/4,19,ŽR—œŒ§,78,33041,0,68
2022/6/5,19,ŽR—œŒ§,58,33099,0,68
2022/6/6,19,ŽR—œŒ§,42,33141,0,68
2022/6/7,19,ŽR—œŒ§,89,33230,0,68
2022/6/8,19,ŽR—œŒ§,68,33298,0,68
2022/6/9,19,ŽR—œŒ§,81,33379,0,68
2022/6/10,19,ŽR—œŒ§,71,33450,0,68
2022/6/11,19,ŽR—œŒ§,72,33522,0,68
2022/6/12,19,ŽR—œŒ§,44,33566,0,68
2022/6/13,19,ŽR—œŒ§,32,33598,0,68
2022/6/14,19,ŽR—œŒ§,85,33683,0,68
2022/6/15,19,ŽR—œŒ§,51,33734,0,68
2022/6/16,19,ŽR—œŒ§,60,33794,0,68
2022/6/17,19,ŽR—œŒ§,57,33851,0,68
2022/6/18,19,ŽR—œŒ§,67,33918,0,68
2022/6/19,19,ŽR—œŒ§,38,33956,0,68
2022/6/20,19,ŽR—œŒ§,20,33976,0,68
2022/6/21,19,ŽR—œŒ§,45,34021,0,68
2022/6/22,19,ŽR—œŒ§,65,34086,0,68
2022/6/23,19,ŽR—œŒ§,56,34142,0,68
2022/6/24,19,ŽR—œŒ§,51,34193,0,68
2022/6/25,19,ŽR—œŒ§,77,34270,0,68
2022/6/26,19,ŽR—œŒ§,29,34299,0,68
2022/6/27,19,ŽR—œŒ§,31,34330,0,68
2022/6/28,19,ŽR—œŒ§,59,34389,0,68
2022/6/29,19,ŽR—œŒ§,80,34469,0,68
2022/6/30,19,ŽR—œŒ§,60,34529,0,68
2022/7/1,19,ŽR—œŒ§,60,34589,0,68
2022/7/2,19,ŽR—œŒ§,66,34655,0,68
2022/7/3,19,ŽR—œŒ§,96,34751,0,68
2022/7/4,19,ŽR—œŒ§,35,34786,0,68
2022/7/5,19,ŽR—œŒ§,171,34957,0,68
2022/7/6,19,ŽR—œŒ§,172,35129,0,68
2022/7/7,19,ŽR—œŒ§,214,35343,0,68
2022/7/8,19,ŽR—œŒ§,183,35526,0,68
2022/7/9,19,ŽR—œŒ§,227,35753,0,68
2022/7/10,19,ŽR—œŒ§,172,35925,0,68
2022/7/11,19,ŽR—œŒ§,106,36031,0,68
2022/7/12,19,ŽR—œŒ§,411,36442,0,68
2022/7/13,19,ŽR—œŒ§,350,36792,0,68
2022/7/14,19,ŽR—œŒ§,396,37188,0,68
2022/7/15,19,ŽR—œŒ§,413,37601,0,68
2022/7/16,19,ŽR—œŒ§,480,38081,0,68
2022/7/17,19,ŽR—œŒ§,385,38466,1,69
2022/7/18,19,ŽR—œŒ§,304,38770,0,69
2022/7/19,19,ŽR—œŒ§,261,39031,0,69
2022/7/20,19,ŽR—œŒ§,1013,40044,0,69
2022/7/21,19,ŽR—œŒ§,1027,41071,0,69
2022/7/22,19,ŽR—œŒ§,928,41999,0,69
2022/7/23,19,ŽR—œŒ§,939,42938,0,69
2022/7/24,19,ŽR—œŒ§,740,43678,0,69
2022/7/25,19,ŽR—œŒ§,501,44179,1,70
2022/7/26,19,ŽR—œŒ§,1007,45186,1,71
2022/7/27,19,ŽR—œŒ§,1294,46480,2,73
2022/7/28,19,ŽR—œŒ§,955,47435,2,75
2022/7/29,19,ŽR—œŒ§,942,48377,0,75
2022/7/30,19,ŽR—œŒ§,1044,49421,0,75
2022/7/31,19,ŽR—œŒ§,879,50300,0,75
2022/8/1,19,ŽR—œŒ§,525,50825,2,77
2022/8/2,19,ŽR—œŒ§,1054,51879,0,77
2022/8/3,19,ŽR—œŒ§,1434,53313,1,78
2022/8/4,19,ŽR—œŒ§,1581,54894,0,78
2022/8/5,19,ŽR—œŒ§,1404,56298,0,78
2022/8/6,19,ŽR—œŒ§,1141,57439,0,78
2022/8/7,19,ŽR—œŒ§,1259,58698,2,80
2022/8/8,19,ŽR—œŒ§,649,59347,2,82
2022/8/9,19,ŽR—œŒ§,1104,60451,5,87
2022/8/10,19,ŽR—œŒ§,1568,62019,2,89
2022/8/11,19,ŽR—œŒ§,1357,63376,0,89
2022/8/12,19,ŽR—œŒ§,730,64106,1,90
2022/8/13,19,ŽR—œŒ§,1175,65281,1,91
2022/8/14,19,ŽR—œŒ§,1072,66353,0,91
2022/8/15,19,ŽR—œŒ§,781,67134,2,93
2022/8/16,19,ŽR—œŒ§,1034,68168,1,94
2020/1/16,20,’·–ìŒ§,0,0,0,0
2020/1/17,20,’·–ìŒ§,0,0,0,0
2020/1/18,20,’·–ìŒ§,0,0,0,0
2020/1/19,20,’·–ìŒ§,0,0,0,0
2020/1/20,20,’·–ìŒ§,0,0,0,0
2020/1/21,20,’·–ìŒ§,0,0,0,0
2020/1/22,20,’·–ìŒ§,0,0,0,0
2020/1/23,20,’·–ìŒ§,0,0,0,0
2020/1/24,20,’·–ìŒ§,0,0,0,0
2020/1/25,20,’·–ìŒ§,0,0,0,0
2020/1/26,20,’·–ìŒ§,0,0,0,0
2020/1/27,20,’·–ìŒ§,0,0,0,0
2020/1/28,20,’·–ìŒ§,0,0,0,0
2020/1/29,20,’·–ìŒ§,0,0,0,0
2020/1/30,20,’·–ìŒ§,0,0,0,0
2020/1/31,20,’·–ìŒ§,0,0,0,0
2020/2/1,20,’·–ìŒ§,0,0,0,0
2020/2/2,20,’·–ìŒ§,0,0,0,0
2020/2/3,20,’·–ìŒ§,0,0,0,0
2020/2/4,20,’·–ìŒ§,0,0,0,0
2020/2/5,20,’·–ìŒ§,0,0,0,0
2020/2/6,20,’·–ìŒ§,0,0,0,0
2020/2/7,20,’·–ìŒ§,0,0,0,0
2020/2/8,20,’·–ìŒ§,0,0,0,0
2020/2/9,20,’·–ìŒ§,0,0,0,0
2020/2/10,20,’·–ìŒ§,0,0,0,0
2020/2/11,20,’·–ìŒ§,0,0,0,0
2020/2/12,20,’·–ìŒ§,0,0,0,0
2020/2/13,20,’·–ìŒ§,0,0,0,0
2020/2/14,20,’·–ìŒ§,0,0,0,0
2020/2/15,20,’·–ìŒ§,0,0,0,0
2020/2/16,20,’·–ìŒ§,0,0,0,0
2020/2/17,20,’·–ìŒ§,0,0,0,0
2020/2/18,20,’·–ìŒ§,0,0,0,0
2020/2/19,20,’·–ìŒ§,0,0,0,0
2020/2/20,20,’·–ìŒ§,0,0,0,0
2020/2/21,20,’·–ìŒ§,0,0,0,0
2020/2/22,20,’·–ìŒ§,0,0,0,0
2020/2/23,20,’·–ìŒ§,0,0,0,0
2020/2/24,20,’·–ìŒ§,0,0,0,0
2020/2/25,20,’·–ìŒ§,1,1,0,0
2020/2/26,20,’·–ìŒ§,1,2,0,0
2020/2/27,20,’·–ìŒ§,0,2,0,0
2020/2/28,20,’·–ìŒ§,0,2,0,0
2020/2/29,20,’·–ìŒ§,0,2,0,0
2020/3/1,20,’·–ìŒ§,0,2,0,0
2020/3/2,20,’·–ìŒ§,0,2,0,0
2020/3/3,20,’·–ìŒ§,0,2,0,0
2020/3/4,20,’·–ìŒ§,0,2,0,0
2020/3/5,20,’·–ìŒ§,0,2,0,0
2020/3/6,20,’·–ìŒ§,1,3,0,0
2020/3/7,20,’·–ìŒ§,0,3,0,0
2020/3/8,20,’·–ìŒ§,0,3,0,0
2020/3/9,20,’·–ìŒ§,0,3,0,0
2020/3/10,20,’·–ìŒ§,0,3,0,0
2020/3/11,20,’·–ìŒ§,0,3,0,0
2020/3/12,20,’·–ìŒ§,0,3,0,0
2020/3/13,20,’·–ìŒ§,0,3,0,0
2020/3/14,20,’·–ìŒ§,1,4,0,0
2020/3/15,20,’·–ìŒ§,0,4,0,0
2020/3/16,20,’·–ìŒ§,0,4,0,0
2020/3/17,20,’·–ìŒ§,0,4,0,0
2020/3/18,20,’·–ìŒ§,0,4,0,0
2020/3/19,20,’·–ìŒ§,0,4,0,0
2020/3/20,20,’·–ìŒ§,0,4,0,0
2020/3/21,20,’·–ìŒ§,0,4,0,0
2020/3/22,20,’·–ìŒ§,0,4,0,0
2020/3/23,20,’·–ìŒ§,0,4,0,0
2020/3/24,20,’·–ìŒ§,1,5,0,0
